Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families,Irish,EEA/UK,Non-EEA,Month,Year
Mid-East,301,186,115,40,160,90,11,183,114,4,0,68,98,38,156,,,,January,2020
Midlands,109,58,51,22,58,28,1,73,12,24,0,25,34,16,56,,,,January,2020
Mid-West,341,208,133,48,189,97,7,121,182,38,0,85,106,64,147,,,,January,2020
North-East,128,77,51,18,63,36,11,70,56,2,0,22,25,19,32,,,,January,2020
North-West,67,45,22,14,34,18,1,19,31,11,6,9,11,7,21,,,,January,2020
South-East,222,160,62,35,122,56,9,58,162,0,2,11,14,8,21,,,,January,2020
South-West,578,358,220,73,342,138,25,328,254,0,0,111,159,63,264,,,,January,2020
West,351,202,149,42,195,101,13,205,144,0,2,79,115,43,199,,,,January,2020
Dublin,4515,2773,1742,524,2662,1241,88,2442,2102,54,0,1103,1609,597,2491,,,,March,2020
Mid-East,317,191,126,44,174,88,11,192,121,4,0,81,114,48,184,,,,March,2020
Midlands,97,53,44,20,51,25,1,63,12,22,0,17,23,11,38,,,,March,2020
Mid-West,331,199,132,51,178,95,7,115,184,32,0,78,95,61,133,,,,March,2020
North-East,112,64,48,18,55,27,12,64,48,0,0,16,21,11,28,,,,March,2020
North-West,69,50,19,11,38,19,1,27,32,10,0,7,10,4,14,,,,March,2020
South-East,218,162,56,33,121,55,9,51,164,0,3,12,14,10,18,,,,March,2020
South-West,550,345,205,76,320,128,26,328,223,0,0,94,136,52,229,,,,March,2020
West,343,190,153,51,186,91,15,212,131,0,0,80,116,44,220,,,,March,2020
Dublin,4266,2652,1614,475,2514,1190,87,2335,1902,42,0,974,1413,535,2232,,,,April,2020
Mid-East,335,211,124,46,183,96,10,208,123,4,0,72,104,40,168,,,,April,2020
Midlands,98,58,40,25,50,21,2,67,12,19,0,17,24,10,47,,,,April,2020
Mid-West,330,211,119,40,182,100,8,112,179,36,3,82,103,61,144,,,,April,2020
North-East,110,64,46,18,54,25,13,61,49,0,0,14,18,10,30,,,,April,2020
North-West,71,51,20,12,39,19,1,29,31,11,0,3,3,3,12,,,,April,2020
South-East,218,160,58,33,117,60,8,57,160,0,1,12,15,9,19,,,,April,2020
South-West,511,324,187,53,308,128,22,338,174,0,0,84,119,49,207,,,,April,2020
West,323,184,139,47,174,89,13,198,125,0,0,81,116,46,214,,,,April,2020
